finish_position,horse_name,jockey,trainer,actual_weight,declared_weight,draw,win_odds,source_file,race_sheet,is_top3,horse_name_id,jockey_id,trainer_id
6.0,好玩福星 (E013),艾兆禮,伍鵬志,118.0,1115.0,11.0,14.0,HKJ_local_results_20231025,25-10-2023_Race4,False,488,31,3
7.0,文明之星 (D429),田泰安,丁冠豪,133.0,1153.0,6.0,8.6,HKJ_local_results_20231025,25-10-2023_Race4,False,746,27,0
8.0,天足貓 (G166),鍾易禮,巫偉傑,128.0,1091.0,3.0,9.9,HKJ_local_results_20231025,25-10-2023_Race4,False,455,52,21
9.0,建測羣英 (H070),周俊樂,大衛希斯,124.0,1154.0,12.0,19.0,HKJ_local_results_20231025,25-10-2023_Race4,False,641,3,12
10.0,快如龍 (G456),巴度,黎昭昇,118.0,1180.0,9.0,17.0,HKJ_local_results_20231025,25-10-2023_Race4,False,673,11,65
11.0,電子兄弟 (E266),蔡明紹,文家良,132.0,1312.0,5.0,31.0,HKJ_local_results_20231025,25-10-2023_Race4,False,1646,41,25
12.0,為您鍾情 (G318),潘頓,羅富全,128.0,1174.0,8.0,4.6,HKJ_local_results_20231025,25-10-2023_Race4,False,995,25,41
1.0,駿皇星 (D144),蔡明紹,文家良,129.0,1124.0,4.0,12.0,HKJ_local_results_20231025,25-10-2023_Race5,True,1760,41,25
2.0,快錢 (H126),艾道拿,蔡約翰,128.0,1158.0,1.0,4.9,HKJ_local_results_20231025,25-10-2023_Race5,True,687,32,48
3.0,佳尊三 (D186),田泰安,蘇偉賢,118.0,1098.0,12.0,25.0,HKJ_local_results_20231025,25-10-2023_Race5,True,75,27,50
4.0,型到爆 (H011),潘頓,羅富全,125.0,1031.0,8.0,4.2,HKJ_local_results_20231025,25-10-2023_Race5,False,370,25,41
5.0,澳華威威 (E144),潘明輝,賀賢,116.0,1018.0,5.0,10.0,HKJ_local_results_20231025,25-10-2023_Race5,False,983,24,52
6.0,鋒芒勁露 (G020),霍宏聲,方嘉柏,126.0,1088.0,9.0,6.7,HKJ_local_results_20231025,25-10-2023_Race5,False,1562,54,26
7.0,皇帝英明 (G264),董明朗,韋達,131.0,1117.0,7.0,15.0,HKJ_local_results_20231025,25-10-2023_Race5,False,1073,40,57
8.0,同寶寶 (H386),艾兆禮,伍鵬志,128.0,1096.0,6.0,58.0,HKJ_local_results_20231025,25-10-2023_Race5,False,300,31,3
9.0,八卦 (C102),巫顯東,徐雨石,114.0,1157.0,11.0,16.0,HKJ_local_results_20231025,25-10-2023_Race5,False,126,10,24
10.0,龍騰飛翔 (E360),班德禮,葉楚航,135.0,1250.0,2.0,6.6,HKJ_local_results_20231025,25-10-2023_Race5,False,1838,26,46
11.0,有鴻利 (E184),鍾易禮,姚本輝,127.0,1275.0,10.0,16.0,HKJ_local_results_20231025,25-10-2023_Race5,False,847,52,14
12.0,焦點 (H173),巴度,呂健威,129.0,1048.0,3.0,19.0,HKJ_local_results_20231025,25-10-2023_Race5,False,1007,11,8
1.0,精彩動力 (H120),黃智弘,方嘉柏,114.0,1059.0,6.0,12.0,HKJ_local_results_20231025,25-10-2023_Race6,True,1176,60,26
2.0,火鑽 (G022),周俊樂,容天鵬,129.0,1222.0,10.0,11.0,HKJ_local_results_20231025,25-10-2023_Race6,True,992,3,18
3.0,魅影獵飛 (G317),田泰安,姚本輝,129.0,1134.0,8.0,2.3,HKJ_local_results_20231025,25-10-2023_Race6,True,1794,27,14
4.0,馬爾代夫 (D329),艾道拿,賀賢,126.0,1157.0,1.0,17.0,HKJ_local_results_20231025,25-10-2023_Race6,False,1749,32,52
5.0,雪山神駒 (G433),潘頓,沈集成,120.0,1032.0,4.0,8.2,HKJ_local_results_20231025,25-10-2023_Race6,False,1641,25,33
6.0,怪獸奇兵 (E369),董明朗,文家良,127.0,1165.0,11.0,20.0,HKJ_local_results_20231025,25-10-2023_Race6,False,696,40,25
7.0,無心睡眠 (D082),梁家俊,鄭俊偉,125.0,1072.0,2.0,10.0,HKJ_local_results_20231025,25-10-2023_Race6,False,1001,19,54
8.0,聰明導彈 (C037),班德禮,方嘉柏,121.0,1102.0,9.0,70.0,HKJ_local_results_20231025,25-10-2023_Race6,False,1290,26,26
9.0,讓愛高飛 (E413),鍾易禮,告東尼,118.0,1020.0,12.0,40.0,HKJ_local_results_20231025,25-10-2023_Race6,False,1378,52,9
10.0,志勝時機 (E444),嘉里,蔡約翰,129.0,1055.0,7.0,45.0,HKJ_local_results_20231025,25-10-2023_Race6,False,665,4,48
11.0,特別美麗 (H123),蔡明紹,羅富全,128.0,1171.0,14.0,32.0,HKJ_local_results_20231025,25-10-2023_Race6,False,1027,41,41
12.0,美麗喝采 (G137),希威森,韋達,124.0,1168.0,13.0,23.0,HKJ_local_results_20231025,25-10-2023_Race6,False,1262,15,57
13.0,旭日昇 (E466),艾兆禮,伍鵬志,122.0,1235.0,5.0,8.2,HKJ_local_results_20231025,25-10-2023_Race6,False,775,31,3
14.0,一代天嬌 (G449),巴度,伍鵬志,132.0,1130.0,3.0,20.0,HKJ_local_results_20231025,25-10-2023_Race6,False,0,11,3
1.0,保羅承傳 (C517),潘明輝,羅富全,120.0,1073.0,1.0,13.0,HKJ_local_results_20231025,25-10-2023_Race7,True,86,24,41
2.0,禪勝寶駒 (D270),艾兆禮,呂健威,130.0,1150.0,12.0,9.3,HKJ_local_results_20231025,25-10-2023_Race7,True,1143,31,8
3.0,同舟共濟 (G075),董明朗,黎昭昇,123.0,1053.0,3.0,11.0,HKJ_local_results_20231025,25-10-2023_Race7,True,309,40,65
4.0,烈風 (E193),巴度,蔡約翰,124.0,1097.0,6.0,5.2,HKJ_local_results_20231025,25-10-2023_Race7,False,998,11,48
5.0,柏林探戈 (E120),田泰安,告東尼,124.0,1057.0,2.0,17.0,HKJ_local_results_20231025,25-10-2023_Race7,False,874,27,9
6.0,電訊巴打 (D482),霍宏聲,徐雨石,134.0,1129.0,5.0,26.0,HKJ_local_results_20231025,25-10-2023_Race7,False,1656,54,24
7.0,大眾開心 (D029),班德禮,羅富全,123.0,1122.0,8.0,76.0,HKJ_local_results_20231025,25-10-2023_Race7,False,420,26,41
8.0,年少有威 (G340),蔡明紹,羅富全,126.0,1199.0,4.0,6.0,HKJ_local_results_20231025,25-10-2023_Race7,False,614,41,41
9.0,寶賢得得 (E430),楊明綸,方嘉柏,120.0,1124.0,13.0,33.0,HKJ_local_results_20231025,25-10-2023_Race7,False,559,20,26
10.0,駿馬快車 (G356),希威森,姚本輝,129.0,1197.0,11.0,22.0,HKJ_local_results_20231025,25-10-2023_Race7,False,1766,15,14
11.0,好好心得 (D433),梁家俊,伍鵬志,126.0,1071.0,10.0,17.0,HKJ_local_results_20231025,25-10-2023_Race7,False,482,19,3
12.0,幸運傳奇 (D047),鍾易禮,巫偉傑,118.0,1192.0,9.0,51.0,HKJ_local_results_20231025,25-10-2023_Race7,False,617,52,21
13.0,盈嵐 (E462),潘頓,容天鵬,124.0,1152.0,7.0,3.1,HKJ_local_results_20231025,25-10-2023_Race7,False,1087,25,18
1.0,包裝伯樂 (H246),艾兆禮,沈集成,116.0,1205.0,7.0,5.1,HKJ_local_results_20231025,25-10-2023_Race8,True,233,31,33
2.0,怡勁力 (H141),艾道拿,黎昭昇,129.0,1201.0,5.0,10.0,HKJ_local_results_20231025,25-10-2023_Race8,True,690,32,65
3.0,自強不息 (H337),潘頓,文家良,126.0,1095.0,12.0,3.9,HKJ_local_results_20231025,25-10-2023_Race8,True,1304,25,25
4.0,勝意龍 (E253),蔡明紹,蘇偉賢,135.0,1155.0,8.0,6.5,HKJ_local_results_20231025,25-10-2023_Race8,False,227,41,50
5.0,錶之銀河 (H399),田泰安,伍鵬志,124.0,1174.0,3.0,5.1,HKJ_local_results_20231025,25-10-2023_Race8,False,1577,27,3
6.0,大眾勝利 (E177),班德禮,羅富全,117.0,1110.0,2.0,20.0,HKJ_local_results_20231025,25-10-2023_Race8,False,416,26,41
7.0,明駿福星 (G252),巴度,蔡約翰,116.0,1056.0,1.0,14.0,HKJ_local_results_20231025,25-10-2023_Race8,False,782,11,48
8.0,步履如風 (G407),霍宏聲,容天鵬,127.0,1161.0,6.0,24.0,HKJ_local_results_20231025,25-10-2023_Race8,False,922,54,18
9.0,歐洲傳奇 (H153),楊明綸,呂健威,119.0,1184.0,10.0,12.0,HKJ_local_results_20231025,25-10-2023_Race8,False,911,20,8
10.0,勝利才子 (E091),董明朗,方嘉柏,117.0,1253.0,11.0,32.0,HKJ_local_results_20231025,25-10-2023_Race8,False,219,40,26
11.0,開心勇駒 (H451),鍾易禮,告東尼,112.0,1132.0,9.0,42.0,HKJ_local_results_20231025,25-10-2023_Race8,False,1609,52,9
12.0,快快盈 (H393),希威森,大衛希斯,118.0,1088.0,4.0,74.0,HKJ_local_results_20231025,25-10-2023_Race8,False,674,15,12
1.0,精彩駿將 (J417),布文,方嘉柏,127.0,1162.0,5.0,4.5,HKJ_local_results_20240918,18-09-2024_Race1,True,1178,14,26
2.0,飲杯 (J219),潘頓,大衛希斯,134.0,1196.0,1.0,2.3,HKJ_local_results_20240918,18-09-2024_Race1,True,1732,25,12
3.0,新幹線 (H277),蔡明紹,韋達,118.0,1173.0,4.0,20.0,HKJ_local_results_20240918,18-09-2024_Race1,True,755,41,57
4.0,五福星 (J099),田泰安,羅富全,119.0,1074.0,6.0,12.0,HKJ_local_results_20240918,18-09-2024_Race1,False,51,27,41
5.0,電訊驕陽 (J332),董明朗,徐雨石,126.0,1032.0,8.0,137.0,HKJ_local_results_20240918,18-09-2024_Race1,False,1658,40,24
6.0,仁仁之寶 (G119),何澤堯,黎昭昇,135.0,1217.0,2.0,21.0,HKJ_local_results_20240918,18-09-2024_Race1,False,60,0,65
7.0,荷花之星 (J016),鍾易禮,沈集成,127.0,1084.0,7.0,58.0,HKJ_local_results_20240918,18-09-2024_Race1,False,1338,52,33
8.0,精明選擇 (J146),潘明輝,伍鵬志,115.0,1123.0,9.0,28.0,HKJ_local_results_20240918,18-09-2024_Race1,False,1180,24,3
9.0,日馳千里 (J143),賀銘年,姚本輝,131.0,1106.0,3.0,3.0,HKJ_local_results_20240918,18-09-2024_Race1,False,774,47,14
1.0,金運來 (H159),希威森,文家良,130.0,1100.0,5.0,2.8,HKJ_local_results_20240918,18-09-2024_Race2,True,1532,15,25
2.0,健康心靈 (G249),陳嘉熙,沈集成,126.0,1070.0,1.0,8.5,HKJ_local_results_20240918,18-09-2024_Race2,True,93,53,33
3.0,木火同明 (C460),巫顯東,鄭俊偉,119.0,1110.0,3.0,13.0,HKJ_local_results_20240918,18-09-2024_Race2,True,853,10,54
4.0,競駿天下 (G272),楊明綸,大衛希斯,117.0,1151.0,7.0,6.5,HKJ_local_results_20240918,18-09-2024_Race2,False,1159,20,12
5.0,聯歡兒 (H423),艾道拿,黎昭昇,129.0,1134.0,2.0,9.5,HKJ_local_results_20240918,18-09-2024_Race2,False,1289,32,65
6.0,樂加福 (G244),田泰安,韋達,132.0,1053.0,9.0,7.8,HKJ_local_results_20240918,18-09-2024_Race2,False,893,27,57
7.0,閃電 (G130),何澤堯,沈集成,135.0,1162.0,8.0,20.0,HKJ_local_results_20240918,18-09-2024_Race2,False,1604,0,33
8.0,儀琪之寶 (H351),霍宏聲,廖康銘,125.0,1178.0,6.0,9.8,HKJ_local_results_20240918,18-09-2024_Race2,False,105,54,23
9.0,小刺蛋 (G458),賀銘年,巫偉傑,125.0,1051.0,10.0,38.0,HKJ_local_results_20240918,18-09-2024_Race2,False,569,47,21
10.0,駿寶 (G261),布文,羅富全,129.0,1117.0,4.0,9.9,HKJ_local_results_20240918,18-09-2024_Race2,False,1756,14,41
1.0,瑰麗人生 (H044),希威森,呂健威,135.0,1100.0,4.0,5.2,HKJ_local_results_20240918,18-09-2024_Race3,True,1049,15,8
2.0,你知我得 (H278),艾兆禮,姚本輝,119.0,1152.0,9.0,15.0,HKJ_local_results_20240918,18-09-2024_Race3,True,72,31,14
3.0,智勝攻略 (H197),巴度,廖康銘,118.0,1077.0,7.0,10.0,HKJ_local_results_20240918,18-09-2024_Race3,True,820,11,23
4.0,耀寶駒 (H323),田泰安,黎昭昇,130.0,1106.0,2.0,2.7,HKJ_local_results_20240918,18-09-2024_Race3,False,1283,27,65
5.0,完美演繹 (J409),潘明輝,沈集成,125.0,1081.0,6.0,80.0,HKJ_local_results_20240918,18-09-2024_Race3,False,534,24,33
6.0,陽光寶貝 (J171),何澤堯,伍鵬志,127.0,1169.0,1.0,12.0,HKJ_local_results_20240918,18-09-2024_Race3,False,1626,0,3
7.0,幸運星球 (H235),蔡明紹,韋達,124.0,1084.0,3.0,2.9,HKJ_local_results_20240918,18-09-2024_Race3,False,625,41,57
8.0,三生福佑 (J310),梁家俊,羅富全,122.0,1039.0,5.0,86.0,HKJ_local_results_20240918,18-09-2024_Race3,False,20,19,41
9.0,電子宇宙 (H151),黃智弘,巫偉傑,127.0,1020.0,8.0,22.0,HKJ_local_results_20240918,18-09-2024_Race3,False,1647,60,21
1.0,中華威威 (D075),田泰安,徐雨石,135.0,1240.0,8.0,9.8,HKJ_local_results_20240918,18-09-2024_Race4,True,37,27,24
2.0,勝萬金 (H405),潘頓,告東尼,133.0,1027.0,5.0,4.5,HKJ_local_results_20240918,18-09-2024_Race4,True,230,25,9
3.0,天分高 (H046),布文,方嘉柏,132.0,1050.0,9.0,15.0,HKJ_local_results_20240918,18-09-2024_Race4,True,431,14,26
4.0,神行百變 (H102),楊明綸,蘇偉賢,121.0,1120.0,10.0,33.0,HKJ_local_results_20240918,18-09-2024_Race4,False,1126,20,50
5.0,鑽飾翱翔 (G201),周俊樂,姚本輝,128.0,1194.0,7.0,19.0,HKJ_local_results_20240918,18-09-2024_Race4,False,1593,3,14
6.0,華麗活力 (G051),希威森,羅富全,133.0,1102.0,1.0,5.0,HKJ_local_results_20240918,18-09-2024_Race4,False,1343,15,41
7.0,飛躍凱旋 (G250),蔡明紹,韋達,121.0,1219.0,4.0,4.5,HKJ_local_results_20240918,18-09-2024_Race4,False,1717,41,57
8.0,同滿滿 (G400),梁家俊,伍鵬志,129.0,1074.0,2.0,4.9,HKJ_local_results_20240918,18-09-2024_Race4,False,306,19,3
9.0,帝豪歡星 (H248),巫顯東,鄭俊偉,116.0,1066.0,3.0,28.0,HKJ_local_results_20240918,18-09-2024_Race4,False,597,10,54
10.0,隼閣 (J056),艾兆禮,大衛希斯,134.0,1094.0,12.0,38.0,HKJ_local_results_20240918,18-09-2024_Race4,False,1632,31,12
11.0,友誼至佳 (E208),霍宏聲,韋達,122.0,1173.0,6.0,23.0,HKJ_local_results_20240918,18-09-2024_Race4,False,280,54,57
12.0,會展二號 (H371),鍾易禮,告東尼,125.0,1130.0,11.0,48.0,HKJ_local_results_20240918,18-09-2024_Race4,False,835,52,9
1.0,久久為攻 (E472),田泰安,大衛希斯,130.0,1207.0,6.0,5.2,HKJ_local_results_20240918,18-09-2024_Race5,True,41,27,12
2.0,極速奇兵 (H346),艾兆禮,姚本輝,134.0,1218.0,7.0,7.0,HKJ_local_results_20240918,18-09-2024_Race5,True,885,31,14
3.0,駟跑得 (G095),霍宏聲,廖康銘,121.0,1171.0,4.0,3.0,HKJ_local_results_20240918,18-09-2024_Race5,True,1753,54,23
4.0,奮鬥心 (J267),潘頓,伍鵬志,135.0,991.0,9.0,6.0,HKJ_local_results_20240918,18-09-2024_Race5,False,474,25,3
5.0,時時稱心 (H090),鍾易禮,告東尼,119.0,1139.0,2.0,9.7,HKJ_local_results_20240918,18-09-2024_Race5,False,810,52,9
6.0,精彩動力 (H120),布文,方嘉柏,130.0,1067.0,5.0,12.0,HKJ_local_results_20240918,18-09-2024_Race5,False,1176,14,26
7.0,威武覺醒 (G165),何澤堯,呂健威,131.0,1095.0,3.0,12.0,HKJ_local_results_20240918,18-09-2024_Race5,False,517,0,8
8.0,好好紛 (J214),黃智弘,沈集成,115.0,1166.0,1.0,12.0,HKJ_local_results_20240918,18-09-2024_Race5,False,483,60,33
9.0,銀皇興標 (H420),潘明輝,羅富全,121.0,1143.0,8.0,71.0,HKJ_local_results_20240918,18-09-2024_Race5,False,1552,24,41
10.0,飛越星空 (J328),賀銘年,伍鵬志,120.0,1175.0,10.0,51.0,HKJ_local_results_20240918,18-09-2024_Race5,False,1716,47,3
1.0,龍船快 (G229),艾兆禮,呂健威,131.0,1115.0,4.0,7.9,HKJ_local_results_20240918,18-09-2024_Race6,True,1836,31,8
2.0,皇仁福星 (H128),潘明輝,伍鵬志,126.0,1142.0,10.0,9.6,HKJ_local_results_20240918,18-09-2024_Race6,True,1071,24,3
3.0,風雷暴 (J069),何澤堯,方嘉柏,123.0,1227.0,7.0,5.8,HKJ_local_results_20240918,18-09-2024_Race6,True,1708,0,26
4.0,大將 (J074),巴度,韋達,119.0,1042.0,3.0,4.0,HKJ_local_results_20240918,18-09-2024_Race6,False,406,11,57
5.0,躡景追飛 (E478),鍾易禮,沈集成,121.0,1015.0,1.0,26.0,HKJ_local_results_20240918,18-09-2024_Race6,False,1441,52,33
6.0,逐步贏 (G420),田泰安,伍鵬志,131.0,1151.0,2.0,5.0,HKJ_local_results_20240918,18-09-2024_Race6,False,1464,27,3
7.0,國大合 (G322),希威森,廖康銘,118.0,1063.0,5.0,9.2,HKJ_local_results_20240918,18-09-2024_Race6,False,364,15,23
8.0,小神仙 (H206),霍宏聲,姚本輝,124.0,1124.0,12.0,19.0,HKJ_local_results_20240918,18-09-2024_Race6,False,572,54,14
9.0,樂捉鳥 (G470),楊明綸,沈集成,118.0,1210.0,11.0,56.0,HKJ_local_results_20240918,18-09-2024_Race6,False,897,20,33
10.0,飛馬將軍 (G189),蔡明紹,丁冠豪,121.0,1011.0,8.0,14.0,HKJ_local_results_20240918,18-09-2024_Race6,False,1727,41,0
11.0,八駿笑昇 (H296),班德禮,告東尼,135.0,1098.0,6.0,15.0,HKJ_local_results_20240918,18-09-2024_Race6,False,134,26,9
12.0,亞福得寶 (J242),梁家俊,大衛希斯,128.0,1230.0,9.0,80.0,HKJ_local_results_20240918,18-09-2024_Race6,False,55,19,12
1.0,勇敢巨星 (G268),何澤堯,呂健威,124.0,1105.0,6.0,5.6,HKJ_local_results_20240918,18-09-2024_Race7,True,205,0,8
2.0,添開心 (H203),潘頓,伍鵬志,123.0,1177.0,9.0,3.0,HKJ_local_results_20240918,18-09-2024_Race7,True,961,25,3
3.0,競駿非凡 (J401),田泰安,韋達,124.0,1113.0,5.0,9.9,HKJ_local_results_20240918,18-09-2024_Race7,True,1165,27,57
4.0,金牌活力 (J402),董明朗,鄭俊偉,126.0,1146.0,7.0,48.0,HKJ_local_results_20240918,18-09-2024_Race7,False,1524,40,54
5.0,鈦易搵 (H216),布文,方嘉柏,135.0,1118.0,4.0,2.9,HKJ_local_results_20240918,18-09-2024_Race7,False,1546,14,26
6.0,智跑得 (J330),霍宏聲,大衛希斯,122.0,1138.0,10.0,28.0,HKJ_local_results_20240918,18-09-2024_Race7,False,824,54,12
7.0,越駿知己 (G033),蔡明紹,羅富全,120.0,1106.0,8.0,58.0,HKJ_local_results_20240918,18-09-2024_Race7,False,1434,41,41
8.0,拍馬難追 (E234),希威森,蘇偉賢,125.0,1124.0,3.0,15.0,HKJ_local_results_20240918,18-09-2024_Race7,False,729,15,50
9.0,電源之駒 (E301),梁家俊,文家良,130.0,1098.0,1.0,20.0,HKJ_local_results_20240918,18-09-2024_Race7,False,1651,19,25
10.0,德心知遇 (J133),艾道拿,蔡約翰,126.0,1149.0,2.0,14.0,HKJ_local_results_20240918,18-09-2024_Race7,False,656,32,48
1.0,木火兄弟 (G115),楊明綸,鄭俊偉,119.0,1188.0,8.0,9.7,HKJ_local_results_20240918,18-09-2024_Race8,True,852,20,54
2.0,港林福將 (H192),梁家俊,羅富全,118.0,1215.0,9.0,27.0,HKJ_local_results_20240918,18-09-2024_Race8,True,965,19,41
3.0,赤兔猴王 (H188),蔡明紹,告東尼,117.0,1061.0,1.0,7.3,HKJ_local_results_20240918,18-09-2024_Race8,True,1401,41,9
4.0,亞機拉 (H113),鍾易禮,告東尼,123.0,1041.0,2.0,7.0,HKJ_local_results_20240918,18-09-2024_Race8,False,52,52,9
5.0,超超比 (H109),周俊樂,沈集成,120.0,1138.0,4.0,3.1,HKJ_local_results_20240918,18-09-2024_Race8,False,1423,3,33
6.0,智取神駒 (H474),布文,沈集成,135.0,1094.0,10.0,10.0,HKJ_local_results_20240918,18-09-2024_Race8,False,822,14,33
7.0,一先生 (G227),班德禮,姚本輝,128.0,1137.0,7.0,54.0,HKJ_local_results_20240918,18-09-2024_Race8,False,2,26,14
8.0,喜蓮勇感 (H215),潘頓,沈集成,129.0,1239.0,11.0,9.6,HKJ_local_results_20240918,18-09-2024_Race8,False,339,25,33
9.0,電訊巴打 (D482),黃智弘,徐雨石,122.0,1117.0,5.0,34.0,HKJ_local_results_20240918,18-09-2024_Race8,False,1656,60,24
10.0,九五赤兔 (H257),霍宏聲,韋達,128.0,1137.0,3.0,48.0,HKJ_local_results_20240918,18-09-2024_Race8,False,44,54,57
11.0,黃腳鱲 (G326),希威森,呂健威,122.0,1212.0,6.0,5.2,HKJ_local_results_20240918,18-09-2024_Race8,False,1806,15,8
